rank,read_tier,title,year,authors,venue,doi,url,cited_by_count,source_query,concepts,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,relevance_score,hostile_reason,abstract
269,serious_skim,A Distributed Optimal Control Framework for Multi-Robot Cooperative Manipulation in Dynamic Environments,2022,Yanhao He; Min Wu; Steven Liu,Journal of Intelligent &amp; Robotic Systems,10.1007/s10846-022-01621-4,https://doi.org/10.1007/s10846-022-01621-4,10,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
270,serious_skim,Auction-Based Task Allocation and Motion Planning for Multi-Robot Systems with Human Supervision,2023,Giada Galati; Stefano Primatesta; Alessandro Rizzo,Journal of Intelligent &amp; Robotic Systems,10.1007/s10846-023-01935-x,https://doi.org/10.1007/s10846-023-01935-x,10,task and motion planning robot,Crossref,Repair or recover a robot plan/model after an execution failure or mismatch.,planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,generic failure recovery or repair framing,whether repair should be scoped to transition edits rather than retraining,5,,"<jats:title>Abstract</jats:title><jats:p>This paper presents a task allocation strategy for a multi-robot system with a human supervisor. The multi-robot system consists of a team of heterogeneous robots with different capabilities that operate in a dynamic scenario that can change in the robots’ capabilities or in the operational requirements. The human supervisor can intervene in the operation scenario by approving the final plan before its execution or forcing a robot to execute a specific task. The proposed task allocation strategy leverages an auction-based method in combination with a sampling-based multi-goal motion planning. The latter is used to evaluate the costs of execution of tasks based on realistic features of paths. The proposed architecture enables the allocation of tasks accounting for priorities and precedence constraints, as well as the quick re-allocation of tasks after a dynamic perturbation occurs –a crucial feature when the human supervisor preempts the outcome of the algorithm and makes manual adjustments. An extensive simulation campaign in a rescue scenario validates our approach in dynamic scenarios comprising a sensor failure of a robot, a total failure of a robot, and a human-driven re-allocation. We highlight the benefits of the proposed multi-goal strategy by comparing it with single-goal motion planning strategies at the state of the art. Finally, we provide evidence for the system efficiency by demonstrating the powerful synergistic combination of the auction-based allocation and the multi-goal motion planning approach.</jats:p>"
271,serious_skim,Terrain-aware motion planning for a walking robot,2017,Szymon Bartoszyk; Patryk Kasprzak; Dominik Belter,2017 11th International Workshop on Robot Motion and Control (RoMoCo),10.1109/romoco.2017.8003889,https://doi.org/10.1109/romoco.2017.8003889,9,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
272,serious_skim,Cooperative Multi-Robot Sampling-Based Motion Planning with Dynamics,2017,Duong Le; Erion Plaku,Proceedings of the International Conference on Automated Planning and Scheduling,10.1609/icaps.v27i1.13854,https://doi.org/10.1609/icaps.v27i1.13854,9,robot learned dynamics model planning,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,"<jats:p> This paper develops an effective, cooperative, and probabilistically-complete multi-robot motion planner. The approach takes into account geometric and differential constraints imposed by the obstacles and the robot dynamics by using sampling to expand a motion tree in the composite state space of all the robots. Scalability and efficiency is achieved by using solutions to a simplified problem representation that does not take dynamics into account to guide the motion-tree expansion. The heuristic solutions are obtained by constructing roadmaps over low-dimensional configuration spaces and relying on cooperative multi-agent graph search to effectively find graph routes. Experimental results with second-order vehicle models operating in complex environments, where cooperation among the robots is required to find solutions, demonstrate significant improvements over related work. </jats:p>"
273,serious_skim,Online Simultaneous Semi-Parametric Dynamics Model Learning,2020,Joshua Smith; Michael Mistry,IEEE Robotics and Automation Letters,10.1109/lra.2020.2970987,https://doi.org/10.1109/lra.2020.2970987,9,robot learned dynamics model planning,Crossref,Advance embodied physical intelligence around: Online Simultaneous Semi-Parametric Dynamics Model Learning.,online adaptation or system identification,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
274,serious_skim,Hierarchical motion planning at the acceleration level based on task priority matrix for space robot,2022,Peng Cai; Xiaokui Yue; Mingming Wang; Yao Cui,Nonlinear Dynamics,10.1007/s11071-021-07038-2,https://doi.org/10.1007/s11071-021-07038-2,9,robot learned dynamics model planning,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",online adaptation or system identification,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
275,serious_skim,Neurosymbolic Motion and Task Planning for Linear Temporal Logic Tasks,2024,Xiaowu Sun; Yasser Shoukry,IEEE Transactions on Robotics,10.1109/tro.2024.3392079,https://doi.org/10.1109/tro.2024.3392079,9,task and motion planning robot,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
276,serious_skim,"Cooperative, Dynamics-based, and Abstraction-Guided Multi-robot Motion Planning",2018,Duong Le; Erion Plaku,Journal of Artificial Intelligence Research,10.1613/jair.1.11244,https://doi.org/10.1613/jair.1.11244,8,robot learned dynamics model planning,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",online adaptation or system identification,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,"<jats:p>This paper presents an effective, cooperative, and probabilistically-complete multi-robot motion planner that enables each robot to move to a desired location while avoiding collisions with obstacles and other robots. The approach takes into account not only the geometric constraints arising from collision avoidance, but also the differential constraints imposed by the motion dynamics of each robot. This makes it possible to generate collision-free and dynamically-feasible trajectories that can be executed in the physical world.The salient aspect of the approach is the coupling of sampling-based motion planning to handle the complexity arising from the obstacles and robot dynamics with multi-agent search to find solutions over a suitable discrete abstraction. The discrete abstraction is obtained by constructing roadmaps to solve a relaxed problem that accounts for the obstacles but not the dynamics. Sampling-based motion planning expands a motion tree in the composite state space of all the robots by adding collision-free and dynamically-feasible trajectories as branches. Efficiency is obtained by using multi-agent search to find non-conflicting routes over the discrete abstraction which serve as heuristics to guide the motion-tree expansion. When little or no progress is made, the routes are penalized and the multi-agent search is invoked again to find alternative routes. This synergistic coupling makes it possible to effectively plan collision-free and dynamically-feasible motions that enable each robot to reach its goal. Experiments using vehicle models with nonlinear dynamics operating in complex environments, where cooperation among robots is required, show significant speedups over related work.</jats:p>"
277,serious_skim,Trajectory Planning for a Space Robot Actuated by Control Moment Gyroscopes,2018,Yinghong Jia; Arun K. Misra,"Journal of Guidance, Control, and Dynamics",10.2514/1.g002988,https://doi.org/10.2514/1.g002988,8,robot learned dynamics model planning,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
278,serious_skim,Combined Task and Motion Planning for a Dual-arm Robot to Use a Suction Cup Tool,2019,Hao Chen; Weiwei Wan; Kensuke Harada,2019 IEEE-RAS 19th International Conference on Humanoid Robots (Humanoids),10.1109/humanoids43949.2019.9035036,https://doi.org/10.1109/humanoids43949.2019.9035036,8,task and motion planning robot,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
279,serious_skim,Motion Planning and Obstacle Avoidance for Robot Manipulators Using Model Predictive Control-based Reinforcement Learning,2022,Adel Baselizadeh; Weria Khaksar; Jim Torresen,"2022 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",10.1109/smc53654.2022.9945504,https://doi.org/10.1109/smc53654.2022.9945504,8,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
280,serious_skim,Unified Human–Robot–Environment Interaction Control in Contact-Rich Collaborative Manipulation Tasks via Model-Based Reinforcement Learning,2023,Xing Liu; Yu Liu; Zhengxiong Liu; Panfeng Huang,IEEE Transactions on Industrial Electronics,10.1109/tie.2022.3227279,https://doi.org/10.1109/tie.2022.3227279,8,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,contact/friction regime,contact-mode changes and localized physical mismatch,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
281,serious_skim,Real-Time Motion Planning for a Volleyball Robot Task Based on a Multi-Agent Technique,2007,Pei-Yan Zhang; Tian-Sheng Lü,Journal of Intelligent and Robotic Systems,10.1007/s10846-007-9140-2,https://doi.org/10.1007/s10846-007-9140-2,7,task and motion planning robot,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
282,serious_skim,Design and Path Planning for a Spherical Rolling Robot,2013,Jaeyeon Lee; Wooram Park,"Volume 4A: Dynamics, Vibration and Control",10.1115/imece2013-64994,https://doi.org/10.1115/imece2013-64994,7,robot learned dynamics model planning,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,"<jats:p>Several designs for a spherical rolling robot have been suggested and some of them were implemented. The kinematics and dynamics study as well as the path planning for the rolling robot are based on the assumption that the deterministic model describes the actual rolling robot successfully. However, due to the high mobility of the sphere, the stochastic behavior is obviously observed. In this paper, we first build a rolling robot to confirm the stochasticity. The robot is actuated by a mass-shifting mechanism where an unbalanced weight inside the spherical robot is rotated by two motors, and the imbalance induced by the weight makes the robot roll. After confirming that this actual rolling robot shows the stochastic behavior, we propose a path planning method for the spherical robot rolling on the plane. The path-of-probability method is applied to generate the most probable path from starting location to destination. This planning method uses the stochasticity of the system to produce the probability density function, and generates the piece-wise short steps for the robot move, which construct the whole trajectory that the robot should follow.</jats:p>"
283,serious_skim,Contact transition modelling on planar manipulation system with LuGre friction model,2015,Akira Nakashima; Yoshiyuki Ooka; Yoshikazu Hayakawa,2015 10th International Workshop on Robot Motion and Control (RoMoCo),10.1109/romoco.2015.7219751,https://doi.org/10.1109/romoco.2015.7219751,7,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,contact/friction regime,contact-mode changes and localized physical mismatch,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
284,serious_skim,Hybrid Learning- and Model-Based Planning and Control of In-Hand Manipulation,2023,Rana Soltani Zarrin; Rianna Jitosho; Katsu Yamane,2023 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros55552.2023.10342153,https://doi.org/10.1109/iros55552.2023.10342153,7,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
285,serious_skim,"Modeling, Embedded Control, and Design of Soft Robots Using a Learned Condensed FEM Model",2025,Tanguy Navez; Etienne Ménager; Paul Chaillou; Olivier Goury; Alexandre Kruszewski; Christian Duriez,IEEE Transactions on Robotics,10.1109/tro.2025.3552353,https://doi.org/10.1109/tro.2025.3552353,7,robot learned dynamics model planning,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
286,serious_skim,Sensor-based learning of environment model and path planning with a Nomad 200 mobile robot,,R. Araujo; A.T. de Almeida,Proceedings of the 1997 IEEE/RSJ International Conference on Intelligent Robot and Systems. Innovative Robotics for Real-World Applications. IROS '97,10.1109/iros.1997.655064,https://doi.org/10.1109/iros.1997.655064,6,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
287,serious_skim,Nonlinear model predictive control for omnidirectional robot motion planning and tracking,2013,Timothy A. V. Teatro; J. Mikael Eklund,2013 26th IEEE Canadian Conference on Electrical and Computer Engineering (CCECE),10.1109/ccece.2013.6567713,https://doi.org/10.1109/ccece.2013.6567713,6,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",online adaptation or system identification,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
288,serious_skim,Robot Motion Planning with Dynamics as Hybrid Search,2013,Erion Plaku,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v27i1.8544,https://doi.org/10.1609/aaai.v27i1.8544,6,robot learned dynamics model planning,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",online adaptation or system identification,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,"<jats:p> This paper presents a framework for motion planning with dynamics as hybrid search over the continuous space of feasible motions and the discrete space of a low-dimensional workspace decomposition. Each step of the hybrid search consists of expanding a frontier of regions in the discrete space using cost heuristics as guide followed by sampling-based motion planning to expand a tree of feasible motions in the continuous space to reach the frontier. The approach is geared towards robots with many degrees-of-freedom (DOFs), nonlinear dynamics, and nonholonomic constraints, which make it difficult to follow discrete-search paths to the goal, and hence require a tight coupling of motion planning and discrete search. Comparisons to related work show significant computational speedups. </jats:p>"
289,serious_skim,Endoscopic Camera Manipulation planning of a surgical robot using Rapidly-Exploring Random Tree algorithm,2015,Jae-Hyeon Park; Woo Jung Park; Chiwon Lee; Myungjoon Kim; Sungwan Kim; H. Jin Kim,"2015 15th International Conference on Control, Automation and Systems (ICCAS)",10.1109/iccas.2015.7364594,https://doi.org/10.1109/iccas.2015.7364594,6,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
290,serious_skim,Planning Framework for Robotic Pizza Dough Stretching with a Rolling Pin,2022,Jung-Tae Kim; Fabio Ruggiero; Vincenzo Lippiello; Bruno Siciliano,Springer Tracts in Advanced Robotics,10.1007/978-3-030-93290-9_9,https://doi.org/10.1007/978-3-030-93290-9_9,6,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
291,serious_skim,SLOT-V: Supervised Learning of Observer Models for Legible Robot Motion Planning in Manipulation,2022,Sebastian Wallkotter; Mohamed Chetouani; Ginevra Castellano,2022 31st IEEE International Conference on Robot and Human Interactive Communication (RO-MAN),10.1109/ro-man53752.2022.9900568,https://doi.org/10.1109/ro-man53752.2022.9900568,6,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
292,serious_skim,Multi-robot task allocation for safe planning against stochastic hazard dynamics,2023,Daniel Tihanyi; Yimeng Lu; Orcun Karaca; Maryam Kamgarpour,2023 European Control Conference (ECC),10.23919/ecc57647.2023.10178126,https://doi.org/10.23919/ecc57647.2023.10178126,6,robot learned dynamics model planning,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
293,serious_skim,Nonlinear model predictive control with set terminal constraint for safe robot motion planning via speed and separation monitoring,2025,Aigerim Nurbayeva; Matteo Rubagotti,Control Engineering Practice,10.1016/j.conengprac.2024.106155,https://doi.org/10.1016/j.conengprac.2024.106155,6,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",online adaptation or system identification,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
294,serious_skim,Motion planning for human-robot interaction in manipulation tasks,,C. Esteves; G. Arechavaleta; J.-P. Laumond,"IEEE International Conference Mechatronics and Automation, 2005",10.1109/icma.2005.1626827,https://doi.org/10.1109/icma.2005.1626827,5,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
295,serious_skim,Programming and learning in real-world manipulation tasks,,E. Cenvera; A.P. del Pobil,Proceedings of the 1997 IEEE/RSJ International Conference on Intelligent Robot and Systems. Innovative Robotics for Real-World Applications. IROS '97,10.1109/iros.1997.649105,https://doi.org/10.1109/iros.1997.649105,5,robot planning control manipulation world model,Crossref,Advance embodied physical intelligence around: Programming and learning in real-world manipulation tasks.,task-specific embodied learning mechanism,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
296,serious_skim,Model-Driven Development of Intelligent Mobile Robot Using Systems Modeling Language (SysML),2011,Mohd Azizi Abdul Rahman; Katsuhiro Mayama; Takahiro Takasu; Akira Yasuda; Makoto Mizukaw,"Mobile Robots - Control Architectures, Bio-Interfacing, Navigation, Multi Robot Motion Planning and Operator Training",10.5772/26906,https://doi.org/10.5772/26906,5,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
297,serious_skim,Water Sink Model for Robot Motion Planning,2019,Gi-Yoon Jeon; Jin-Woo Jung,Sensors,10.3390/s19061269,https://doi.org/10.3390/s19061269,5,robot learned dynamics model planning,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,"<jats:p>There are various motion planning techniques for robots or agents, such as bug algorithm, visibility graph, Voronoi diagram, cell decomposition, potential field, and other probabilistic algorithms. Each technique has its own advantages and drawbacks, depending on the number and shape of obstacles and performance criteria. Especially, a potential field has vector values for movement guidance to the goal, and the method can be used to make an instantaneous and smooth robot movement path without an additional controller. However, there may be some positions with zero force value, called local minima, where the robot or agent stops and cannot move any further. There are some solutions for local minima, such as random walk or backtracking, but these are not yet good enough to solve the local minima problem. In this paper, we propose a novel movement guidance method that is based on the water sink model to overcome the previous local minima problem of potential field methods. The concept of the water sink model is to mimic the water flow, where there is a sink or bathtub with a plughole and floating piece on the water. The plughole represents the goal position and the floating piece represents robot. In this model, when the plug is removed, water starts to drain out via the plughole and the robot can always reach the goal by the water flow. The water sink model simulator is implemented and a comparison of experimental results is done between the water sink model and potential field.</jats:p>"
298,serious_skim,A Distributed Framework for Dynamic Task Allocation of Multi-Robot Symbolic Motion Planning,2019,Huanfei Zheng; Yue Wang,2019 American Control Conference (ACC),10.23919/acc.2019.8814795,https://doi.org/10.23919/acc.2019.8814795,5,task and motion planning robot,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
299,serious_skim,Scalable Motion Planning and Task-Oriented Coordination Scheme for Mobile Manipulators in Smart Manufacturing,2023,Tian Yu; Qing Chang,Journal of Intelligent &amp; Robotic Systems,10.1007/s10846-023-02005-y,https://doi.org/10.1007/s10846-023-02005-y,5,task and motion planning robot,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
300,serious_skim,Model-Based Trajectory Planning of a Hybrid Robot for Powerline Inspection,2024,Zhishuo Li; Yunong Tian; Guodong Yang; Yanfeng Zhang; En Li; Zize Liang; Min Tan,IEEE Robotics and Automation Letters,10.1109/lra.2024.3363535,https://doi.org/10.1109/lra.2024.3363535,5,robot learned dynamics model planning,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
301,landscape_sweep,A simulation environment for robot motion planning,2005,A. Ettlin; P. Buchler; H. Bleuler,"Proceedings of the Fifth International Workshop on Robot Motion and Control, 2005. RoMoCo '05.",10.1109/romoco.2005.201436,https://doi.org/10.1109/romoco.2005.201436,4,task and motion planning robot,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
302,landscape_sweep,Cooperative Path Planning for Multi-Robot Systems in Dynamic Domains,2011,Stephan Opfer; Hendrik Skubch; Kurt Geihs,"Mobile Robots - Control Architectures, Bio-Interfacing, Navigation, Multi Robot Motion Planning and Operator Training",10.5772/26440,https://doi.org/10.5772/26440,4,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,training variation covers deployment mismatch,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
303,landscape_sweep,Hybrid symbolic control for robot motion planning,2013,Ali Karimoddini; Hai Lin,2013 10th IEEE International Conference on Control and Automation (ICCA),10.1109/icca.2013.6565125,https://doi.org/10.1109/icca.2013.6565125,4,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
304,landscape_sweep,Non-prehensile manipulation planning of a three-rigid-link object using two cooperative robot arms,2016,Omar Mehrez; Zakarya Zyada; Hossam S. Abbas; Ahmed A. Abo Ismail,"International Journal of Modelling, Identification and Control",10.1504/ijmic.2016.077748,https://doi.org/10.1504/ijmic.2016.077748,4,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
305,landscape_sweep,Planning of Knotting Based on Manipulation Skills with Consideration of Robot Mechanism/Motion and Its Realization by a Robot Hand System,2017,Yuji Yamakawa; Akio Namiki; Masatoshi Ishikawa; Makoto Shimojo,Symmetry,10.3390/sym9090194,https://doi.org/10.3390/sym9090194,4,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,"<jats:p>This paper demonstrates the relationship between the production process of a knot and manipulation skills. First, we define the description (rope intersections, grasp type and fixation positions) of a knot. Second, we clarify the characteristics of the manipulation skills from the viewpoint of the knot description. Next, in order to obtain the production process of the knot, we propose an analysis method based on the structure of the knot and the characteristics of the manipulation skills. Using the proposed analysis method, we analyzed eight kinds of knots, formed with a single rope, two ropes or a single rope and an object. Finally, in order to validate the production process obtained by the proposed analysis method, we show experimental results of an overhand knot and a half hitch produced by using a robot hand system.</jats:p>"
306,landscape_sweep,A Robust Model-Based Biped Locomotion Framework Based on Three-Mass Model: From Planning to Control,2020,Mohammadreza Kasaei; Ali Ahmadi; Nuno Lau; Artur Pereira,2020 IEEE International Conference on Autonomous Robot Systems and Competitions (ICARSC),10.1109/icarsc49921.2020.9096150,https://doi.org/10.1109/icarsc49921.2020.9096150,4,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,5,,
